Strategy,Lap,Stint,Compound,TyreAge,PredictedTime_sec
Soft → Hard → Soft,1,0,SOFT,0,101.807
Soft → Hard → Soft,2,0,SOFT,1,103.116
Soft → Hard → Soft,3,0,SOFT,2,103.425
Soft → Hard → Soft,4,0,SOFT,3,103.742
Soft → Hard → Soft,5,0,SOFT,4,104.145
Soft → Hard → Soft,6,0,SOFT,5,105.187
Soft → Hard → Soft,7,0,SOFT,6,105.596
Soft → Hard → Soft,8,0,SOFT,7,105.908
Soft → Hard → Soft,9,0,SOFT,8,105.334
Soft → Hard → Soft,10,0,SOFT,9,99.37
Soft → Hard → Soft,11,0,SOFT,10,98.84
Soft → Hard → Soft,12,0,SOFT,11,99.161
Soft → Hard → Soft,13,0,SOFT,12,99.618
Soft → Hard → Soft,14,0,SOFT,13,99.846
Soft → Hard → Soft,15,0,SOFT,14,100.196
Soft → Hard → Soft,16,0,PIT,0,20.0
Soft → Hard → Soft,17,1,HARD,0,97.555
Soft → Hard → Soft,18,1,HARD,1,98.286
Soft → Hard → Soft,19,1,HARD,2,98.58
Soft → Hard → Soft,20,1,HARD,3,98.874
Soft → Hard → Soft,21,1,HARD,4,99.195
Soft → Hard → Soft,22,1,HARD,5,98.576
Soft → Hard → Soft,23,1,HARD,6,99.145
Soft → Hard → Soft,24,1,HARD,7,98.982
Soft → Hard → Soft,25,1,HARD,8,99.911
Soft → Hard → Soft,26,1,HARD,9,100.019
Soft → Hard → Soft,27,1,HARD,10,100.463
Soft → Hard → Soft,28,1,HARD,11,100.92
Soft → Hard → Soft,29,1,HARD,12,101.094
Soft → Hard → Soft,30,1,HARD,13,100.993
Soft → Hard → Soft,31,1,HARD,14,101.759
Soft → Hard → Soft,32,1,HARD,15,102.134
Soft → Hard → Soft,33,1,HARD,16,102.548
Soft → Hard → Soft,34,1,HARD,17,103.041
Soft → Hard → Soft,35,1,HARD,18,103.727
Soft → Hard → Soft,36,1,HARD,19,103.711
Soft → Hard → Soft,37,1,HARD,20,104.003
Soft → Hard → Soft,38,1,HARD,21,104.297
Soft → Hard → Soft,39,1,HARD,22,104.592
Soft → Hard → Soft,40,1,HARD,23,104.886
Soft → Hard → Soft,41,1,HARD,24,105.18
Soft → Hard → Soft,42,1,HARD,25,105.475
Soft → Hard → Soft,43,1,HARD,26,105.769
Soft → Hard → Soft,44,1,PIT,0,20.0
Soft → Hard → Soft,45,2,SOFT,0,94.847
Soft → Hard → Soft,46,2,SOFT,1,97.493
Soft → Hard → Soft,47,2,SOFT,2,97.785
Soft → Hard → Soft,48,2,SOFT,3,98.179
Soft → Hard → Soft,49,2,SOFT,4,98.596
Soft → Hard → Soft,50,2,SOFT,5,99.037
Soft → Hard → Soft,51,2,SOFT,6,99.336
Soft → Hard → Soft,52,2,SOFT,7,99.587
Soft → Hard → Soft,53,2,SOFT,8,99.86
Soft → Hard → Soft,54,2,SOFT,9,99.236
Soft → Hard → Soft,55,2,SOFT,10,99.349
Soft → Hard → Soft,56,2,SOFT,11,99.549
Soft → Hard → Soft,57,2,SOFT,12,100.045
Soft → Hard → Soft,58,2,SOFT,13,100.279
Soft → Hard → Soft,59,2,SOFT,14,100.722
Soft → Hard → Soft,60,2,PIT,0,20.0
